,X,Y,OBJECTID,GLOBALID,FIREOCCURID,CN,REVDATE,FIRENAME,COMPLEXNAME,FIREYEAR,UNIQFIREID,SOFIRENUM,LOCALFIRENUM,REPORTINGUNIT,DISCOVERYDATETIME,SIZECLASS,TOTALACRES,STATCAUSE,COMMENTS,DATASOURCE,FIREOUTDATETIME,OWNERAGENCY,UNITIDOWNER,PROTECTIONAGENCY,UNITIDPROTECT,LATDD83,LONGDD83,FIRETYPECATEGORY,POINTTYPE,PERIMEXISTS,FIRESTATQC,DBSOURCEID,DBSOURCEDATE
75151,-109.0888889,33.34666667,329483088,{F91B3333-4E29-40C5-9CE7-866403F22F9D},{D941A1C1-1542-4FAD-8B86-95D068B5E5FD},6739850,2017/01/20 00:00:00+00,Maple,,2016,2016-AZASF-000469,53,2016-053,301,2016/06/21 12:26:00+00,F,1408,1 - Lightning,,23,2016/07/22 15:00:00+00,USFS,AZASF,USFS,AZASF,33.34667,-109.08889,WF,Ignition,Y, ,301,2020/09/11 04:12:55+00
75243,-110.4943061,34.46097421,329483180,{CB48949C-C1D4-4FFA-B5A8-A25A9B1F7CA2},{2c3ce7b9-c5df-408f-b9d4-7449fad90248},6915195,2019/02/22 00:00:00+00,377,,2018,2018-AZASF-000484,69,2018-056,301,2018/06/04 15:20:00+00,F,4833,9 - Miscellaneous,,23,2018/07/22 13:00:00+00,USFS,AZASF,USFS,AZASF,34.46097,-110.49431,WF,Ignition,Y,Yes,301,2020/09/11 04:12:56+00
75260,-110.8863889,34.53555556,329483197,{12F05C19-035A-4242-BD50-EC1FD2A27266},,6363775,2016/02/29 00:00:00+00,Alder,,2015,2015-AZASF-000035,35,2015-035,301,2015/06/26 00:00:00+00,F,2500,1 - Lightning,,23,,USFS,,USFS,,34.53556,-110.88639,WF, ,Y, ,301,2020/09/11 04:12:56+00
75543,-110.8536,34.47778,329483480,{CE2E02C3-2DFC-4277-8DB5-02E39C88375F},,1492152,2011/05/10 00:00:00+00,Circle Bar,,2010,2010-AZASF-000113,113,2010-113,301,2010/09/10 00:00:00+00,F,4000,1 - Lightning,,23,,USFS,,USFS,,34.47778,-110.8536,WF, ,Y, ,301,2020/09/11 04:12:57+00
75544,-109.4938,33.71944,329483481,{9C1B2430-CC20-461F-A2DB-38254CEE49B6},,1487803,2011/05/10 00:00:00+00,Boggy,,2010,2010-AZASF-000029,29,2010-029,301,2010/06/06 00:00:00+00,E,820,1 - Lightning,,23,,USFS,,USFS,,33.71944,-109.4938,WF, ,Y, ,301,2020/09/11 04:12:57+00
75600,-110.2575,34.2575,329483537,{ECEDA7BF-5D1E-4E81-A6C3-42821F559361},{9408d4c7-1b00-4e91-9111-944d6b6435fd},6915720,2019/02/22 00:00:00+00,Hub point,,2018,2018-AZASF-000996,182,2018-017,301,2018/07/27 18:49:00+00,G,5056,1 - Lightning,,23,2018/09/26 15:46:00+00,USFS,AZASF,USFS,AZASF,34.2575,-110.2575,WF,Ignition,Y,Yes,301,2020/09/11 04:12:58+00
76320,-109.4752,34.105,329484257,{62F9F826-15AA-4B4F-A2DD-E7B9004F5F00},,1492213,2011/05/10 00:00:00+00,Turkey,,2010,2010-AZASF-000125,125,2010-125,301,2010/11/20 00:00:00+00,G,9005.1,9 - Miscellaneous,,23,,USFS,,USFS,,34.105,-109.4752,WF, ,Y, ,301,2020/09/11 04:13:01+00
76380,-109.1902778,33.75833333,329484317,{76023382-354B-478D-80E8-554C7BBEBF7D},cfe901bc-1fb7-4931-a32e-92f52a021edc,6958071,2020/02/03 14:27:15+00,Coleman,,2019,2019-AZASF-000395,26,4,301,2019/06/30 13:50:00+00,E,990,1 - Lightning,,23,2019/07/29 15:16:00+00,USFS,AZASF,USFS,AZASF,33.75833,-109.19028,WF,Ignition,Y,Yes,301,2020/09/11 04:13:02+00
76382,-109.0875,33.14138889,329484319,{AAF5EEDD-7DBA-4579-BAE7-4FEB8FBCFD5B},0a0c2ce0-583c-44f8-8e99-7c1789ef8feb,6988029,2020/02/03 14:27:15+00,Grassy,,2019,2019-AZASF-000532,43,4,301,2019/07/15 20:12:00+00,E,550,1 - Lightning,Brent Corkish ICT4 and Josh Miller ICT3,23,2019/08/27 19:00:00+00,USFS,AZASF,USFS,AZASF,33.14139,-109.0875,WF,Ignition,Y,Yes,301,2020/09/11 04:13:02+00
76386,-110.1402778,34.23583333,329484323,{BFAD2791-1030-4B46-826A-052CC6F15F1D},fb7cde5c-1ed6-483e-be15-da124b5152f4,6983741,2020/02/03 14:27:15+00,Bagnal,,2019,2019-AZASF-000604,49,8,301,2019/07/26 19:00:00+00,F,2243,1 - Lightning,,23,2019/09/24 16:00:00+00,USFS,AZASF,USFS,AZASF,34.23583,-110.14028,WF,Ignition,Y,Yes,301,2020/09/11 04:13:02+00
77161,-110.66,34.36416667,329485098,{4B289B44-421F-40CE-A559-E863E38DBB14},32783081-7d5b-4001-8166-b58cb27fe3ec,6946301,2020/02/03 14:27:15+00,Hoyle,,2019,2019-AZASF-000112,9,3,301,2019/05/02 09:44:00+00,E,502.5,1 - Lightning,IC Josh Salazar ICt Jesse Hurtado,23,2019/06/05 17:55:00+00,USFS,AZASF,USFS,AZASF,34.36417,-110.66,WF,Ignition,Y,Yes,301,2020/09/11 04:13:05+00
77162,-109.1336111,33.73527778,329485099,{8B2D96B6-62E8-41D4-8837-6CCE75718E8B},81e3ea70-ee0e-4899-9ed6-9387bc122085,6955224,2020/02/03 14:27:15+00,Deer,,2019,2019-AZASF-000204,14,2,301,2019/05/28 18:33:00+00,F,1905,1 - Lightning,,23,2019/07/29 17:00:00+00,USFS,AZASF,USFS,AZASF,33.73528,-109.13361,WF,Ignition,Y,Yes,301,2020/09/11 04:13:05+00
77168,-109.0733333,33.73444444,329485105,{0A1B3522-8BA3-4090-9CFA-56511D71B3A4},932c1f1c-bb0f-4f1f-bcaf-c47834dce412,6955573,2020/02/03 14:27:15+00,Blue river,,2019,2019-AZASF-000392,24,,301,2019/06/30 11:00:00+00,F,2168,1 - Lightning,,23,2019/07/26 15:00:00+00,USFS,AZASF,USFS,AZASF,33.73444,-109.07333,WF,Ignition,Y,Yes,301,2020/09/11 04:13:06+00
77538,-110.6325,34.29888889,329485475,{A27799F7-F57C-4B10-B514-FBA87FC3FB79},cdc0640c-8172-44fe-8ff3-3491d2a200e4,6979626,2020/02/03 14:27:15+00,Rocky,,2019,2019-AZASF-000834,78,44,301,2019/09/05 14:12:00+00,F,3700,1 - Lightning,,23,2019/12/03 09:30:00+00,USFS,AZASF,USFS,AZASF,34.29889,-110.6325,WF,Ignition,Y,Yes,301,2020/09/11 04:13:07+00
77715,-110.4744,34.46639,329485652,{0F329EEC-C353-4A8F-9941-802BA713CB65},,1501162,2012/01/23 00:00:00+00,Wash,,2011,2011-AZASF-000031,31,2011-031,301,2011/06/23 00:00:00+00,F,1955,9 - Miscellaneous,,23,,USFS,,USFS,,34.46639,-110.4744,WF, ,Y, ,301,2020/09/11 04:13:08+00
78436,-109.4497,33.60611,329486373,{AF7EAEB1-4667-4F8E-9F18-B0C2ED9B95D9},,1501166,2012/02/23 00:00:00+00,Wallow,,2011,2011-AZASF-000020,20,2011-020,301,2011/05/29 00:00:00+00,G,538049,4 - Campfire,,23,,USFS,,USFS,,33.60611,-109.4497,WF, ,Y, ,301,2020/09/11 04:13:12+00
78896,-109.1201896,33.51888472,329486833,{30AF5BF6-DB8B-4203-B6B2-91441A3CFEBE},,1527629,2015/01/26 00:00:00+00,Sycamore,,2014,2014-AZASF-000061,61,2014-061,301,2014/07/17 00:00:00+00,F,3852,1 - Lightning,,23,,USFS,,USFS,,33.51888,-109.12019,WF, ,Y, ,301,2020/09/11 04:13:14+00
